,text,place_lat_min,place_lon_min,place_lat_max,place_lon_max
177,"Se no Barcelona que for camisa 10, me cobrir de ouro da cabeça os pés, mesmo se isso acontecer fico com vc, fico com vc",,,,
178,"RT @RampantRaul: Wolves:
Leonardo Campana,
A tough one due to Neto and Gibbs white both turning 20 but, the 19 year old Ecuadorean looks fu…",,,,
179,"RT @Sporf: 🇦🇷 Lionel Messi has donated €500,000 to be distributed to 6 hospitals in Argentina to help the fight against Coronavirus. 

💰 Th…",,,,
180,"RT @MessiFC10i: • Messi has 42 Goals and Assists in 32 Games this season
• Contributed to 49% of Goals Barcelona scored this season
• Contr…",,,,
181,"RT @goal: @andresiniesta8 📅 May 6, 2009

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Chelsea 1-1 Barcelona 🇪🇸

Guardiola: ""Andres always moans that he doesn't score enough, as…",,,,
182,@rafasevidane @FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso https://t.co/iKt2wnHkw4,,,,
183,RT @thacaff: Barcelona é maior que o Real Madrid,,,,
184,@kellywind @mtosterholm @mlipsitch @johnmbarry 5% is ridiculous. He is making assumption of the spread of flu. This… https://t.co/5sq4D3YZ5D,,,,
185,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
186,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
187,essa série do barcelona na netflix ficou malada demais,,,,
188,"RT @ZouhairHairan: Recuerdos.. 🙂🙂

https://t.co/earCx1uGMv @Awatef_Ah @khadikhadija3 @ashrafkachach @EuroArabEU @BCNAntirumors  
#noalracis…",,,,
189,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
190,"RT @FansNerazzurri_: Sport : Inter-Barcelona sepakat 60juta euro plus Vidal &amp; Samedo/Emerson untuk Lautaro.

CdS : Inter kirim Lautaro ke B…",,,,
191,RT @farizzio: Teleamazonas típico de los Egas comenzó con su guerra mediática atacar a los que apoyan a Estrada Emelec y Barcelona. Para va…,,,,
192,@rafasevidane @FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso https://t.co/SezylE2pHu,,,,
193,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
194,"RT @Mario_Psycho: Vaya hombre, el PP no ha gobernado nunca en Cataluña, ¿cómo ha podido pasar esto? Poneos a trabajar, coño. Que la gente v…",,,,
195,"RT @marca: Litmanen, tras superar el coronavirus: ""Nunca me había sentido peor"" https://t.co/e2GOxZKrxF",,,,
196,@rafasevidane @FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso https://t.co/B4WD5H6Hch,,,,
